"id","title","year","quarter_num","month_num","day_of_week_num","date_published","duration1","country","worldwide_gross_income","languages","production_company","day_of_week","time_period","month","duration","name_id","director_name","height","date_of_birth","genre","avg_rating","total_votes","median_rating"
"tt1024855","Gunned Down",2017,3,7,2,"2017-07-17",95,"UK","$ 47737","English","Impact Entertainment","Monday","weekday","July","Standard","nm1654324","Mark McQueen",0,"1980-05-29","Thriller",5.1,791,5
"tt1025100","Gemini Man",2019,4,10,5,"2019-10-10",117,"USA, China","$ 169317064","English, French","Skydance Media","Thursday","weekday","October","Standard","nm0000487","Ang Lee",170,"1954-10-23","Action",5.7,21606,6
"tt1025100","Gemini Man",2019,4,10,5,"2019-10-10",117,"USA, China","$ 169317064","English, French","Skydance Media","Thursday","weekday","October","Standard","nm0000487","Ang Lee",170,"1954-10-23","Drama",5.7,21606,6
"tt1025100","Gemini Man",2019,4,10,5,"2019-10-10",117,"USA, China","$ 169317064","English, French","Skydance Media","Thursday","weekday","October","Standard","nm0000487","Ang Lee",170,"1954-10-23","Sci-Fi",5.7,21606,6
"tt10253466","Badland",2019,4,11,6,"2019-11-01",117,"USA","","English","Papa Octopus Productions","Friday","weekday","November","Standard","nm4899218","Justin Lee",0,"","Others",6.7,424,9
"tt10255320","Deviant Love",2019,3,9,6,"2019-09-13",87,"USA","","English","Feifer Worldwide","Friday","weekday","September","Short ","nm0006395","Michael Feifer",0,"1968-09-11","Thriller",3.5,191,3
"tt10263320","Enes Batur Gerçek Kahraman",2019,2,5,6,"2019-05-31",99,"Turkey","$ 1283263","Turkish","Eren Medya","Friday","weekday","May","Standard","nm5662493","Doga Can Anafarta",0,"","Comedy",3.4,6623,1
"tt10272534","Lux Æterna",2019,2,5,7,"2019-05-18",50,"France","","French","Vixens","Saturday","weekend","May","Short ","nm0637615","Gaspar Noé",0,"1963-12-27","Drama",7.0,102,7
"tt10279010","Chui lung II",2019,2,6,5,"2019-06-06",101,"China, Hong Kong","$ 45733356","Cantonese, Mandarin","Bona Film Group","Thursday","weekday","June","Standard","nm0939147","Jing Wong",0,"1955-05-03","Action",5.8,244,6
"tt10279010","Chui lung II",2019,2,6,5,"2019-06-06",101,"China, Hong Kong","$ 45733356","Cantonese, Mandarin","Bona Film Group","Thursday","weekday","June","Standard","nm0939147","Jing Wong",0,"1955-05-03","Crime",5.8,244,6
"tt10279010","Chui lung II",2019,2,6,5,"2019-06-06",101,"China, Hong Kong","$ 45733356","Cantonese, Mandarin","Bona Film Group","Thursday","weekday","June","Standard","nm1712317","Jason Kwan",0,"","Action",5.8,244,6
"tt10279010","Chui lung II",2019,2,6,5,"2019-06-06",101,"China, Hong Kong","$ 45733356","Cantonese, Mandarin","Bona Film Group","Thursday","weekday","June","Standard","nm1712317","Jason Kwan",0,"","Crime",5.8,244,6
"tt10305616","Malaal",2019,3,7,6,"2019-07-05",153,"India","$ 76","Hindi","Bhansali Productions","Friday","weekday","July","Long","nm4726499","Mangesh Hadawale",0,"","Action",5.6,445,6
"tt10305616","Malaal",2019,3,7,6,"2019-07-05",153,"India","$ 76","Hindi","Bhansali Productions","Friday","weekday","July","Long","nm4726499","Mangesh Hadawale",0,"","Drama",5.6,445,6
"tt10305616","Malaal",2019,3,7,6,"2019-07-05",153,"India","$ 76","Hindi","Bhansali Productions","Friday","weekday","July","Long","nm4726499","Mangesh Hadawale",0,"","Romance",5.6,445,6
"tt10318332","Badnaam Gali",2019,2,5,6,"2019-05-10",95,"India","","Hindi","Zee5","Friday","weekday","May","Standard","nm2435139","Ashwin Shetty",0,"","Comedy",7.1,323,8
"tt10323688","Password",2019,2,6,4,"2019-06-05",137,"Bangladesh","","Bengali","Live Technologies","Wednesday","weekday","June","Long","nm6034923","Malek Afsari",0,"","Action",4.9,164,6
"tt10323688","Password",2019,2,6,4,"2019-06-05",137,"Bangladesh","","Bengali","Live Technologies","Wednesday","weekday","June","Long","nm6034923","Malek Afsari",0,"","Crime",4.9,164,6
"tt10323688","Password",2019,2,6,4,"2019-06-05",137,"Bangladesh","","Bengali","Live Technologies","Wednesday","weekday","June","Long","nm6034923","Malek Afsari",0,"","Drama",4.9,164,6
"tt10327842","Portals",2019,4,10,6,"2019-10-25",85,"USA","","English","Bloody Disgusting","Friday","weekday","October","Short ","nm0354918","Gregg Hale",0,"","Sci-Fi",2.9,298,3
"tt10327842","Portals",2019,4,10,6,"2019-10-25",85,"USA","","English","Bloody Disgusting","Friday","weekday","October","Short ","nm0844896","Eduardo Sánchez",94,"1968-12-20","Sci-Fi",2.9,298,3
"tt10327842","Portals",2019,4,10,6,"2019-10-25",85,"USA","","English","Bloody Disgusting","Friday","weekday","October","Short ","nm2880943","Liam O Donnell",0,"1982-04-12","Sci-Fi",2.9,298,3
